What is the capital of France?, Paris, London, Berlin, Madrid
Who painted the Mona Lisa?, Leonardo da Vinci, Michelangelo, Raphael, Donatello
What year did World War II end?, 1945, 1944, 1946, 1943
What is the largest planet in our solar system?, Jupiter, Saturn, Neptune, Uranus
Who wrote Romeo and Juliet?, William Shakespeare, Charles Dickens, Jane Austen, Mark Twain
What is the chemical symbol for gold?, Au, Ag, Fe, Cu
How many continents are there?, 7, 5, 6, 8
What is the smallest country in the world?, Vatican City, Monaco, San Marino, Liechtenstein
Who invented the telephone?, Alexander Graham Bell, Thomas Edison, Nikola Tesla, Benjamin Franklin
What is the speed of light?, 299,792,458 m/s, 300,000,000 m/s, 250,000,000 m/s, 350,000,000 m/s
